t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.020,start,0,0.000,0.000,17.025,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.038,pose,0,0.380,0.000,17.025,,1,0.0500,0,-1.4700,1,0.0123,0,-1.4700,0.363,0.400
2.070,pose,0,0.760,0.000,17.025,,1,0.0500,0,-1.0900,1,0.0325,0,-1.0900,0.363,0.400
3.088,pose,0,1.140,0.000,17.025,,1,0.0500,0,-0.7100,1,0.0073,0,-0.7100,0.380,0.400
4.107,pose,0,1.520,0.000,17.025,,1,0.0500,0,-0.3300,1,0.0070,0,-0.3300,0.362,0.400
5.025,finish,0,1.860,0.000,17.025,dur=5.00s,1,0.0500,1,0.0100,1,0.0147,1,0.0100,0.360,0.400
5.080,start,1,1.860,0.000,34.025,new goal window,1,0.0500,0,-inf,1,0.0228,0,-inf,0.000,0.400
5.135,pose,1,1.880,-0.001,34.025,,1,0.0500,0,-2.1937,1,0.0228,0,-2.1937,0.363,0.400
6.161,pose,1,2.243,-0.108,34.025,,1,0.0500,0,-1.8207,1,0.0199,0,-1.8207,0.380,0.400
7.171,pose,1,2.586,-0.271,34.025,,1,0.0500,0,-1.4409,1,0.0052,0,-1.4409,0.363,0.400
8.183,pose,1,2.924,-0.444,34.025,,1,0.0500,0,-1.0609,1,0.0150,0,-1.0609,0.366,0.400
9.201,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.221,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
10.616,end,,,,,all done,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,,
