t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.005,start,0,0.000,0.000,17.013,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.029,pose,0,0.380,0.000,17.013,,1,0.0500,0,-1.4700,1,0.0284,0,-1.4700,0.363,0.400
2.063,pose,0,0.760,0.000,17.013,,1,0.0500,0,-1.0900,1,0.0229,0,-1.0900,0.363,0.400
3.093,pose,0,1.140,0.000,17.013,,1,0.0500,0,-0.7100,1,0.0191,0,-0.7100,0.381,0.400
4.112,pose,0,1.520,0.000,17.013,,1,0.0500,0,-0.3300,1,0.0272,0,-0.3300,0.362,0.400
5.028,finish,0,1.860,0.000,17.013,dur=5.02s,1,0.0500,1,0.0100,1,0.0078,1,0.0078,0.363,0.400
5.080,start,1,1.860,0.000,34.013,new goal window,1,0.0500,0,-inf,1,0.0317,0,-inf,0.000,0.400
5.135,pose,1,1.880,-0.001,34.013,,1,0.0500,0,-2.1937,1,0.0369,0,-2.1937,0.363,0.400
6.164,pose,1,2.243,-0.108,34.013,,1,0.0500,0,-1.8207,1,0.0303,0,-1.8207,0.370,0.400
7.190,pose,1,2.586,-0.271,34.013,,1,0.0500,0,-1.4409,1,0.0241,0,-1.4409,0.363,0.400
8.199,pose,1,2.924,-0.444,34.013,,1,0.0500,0,-1.0609,1,0.0081,0,-1.0609,0.384,0.400
9.221,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.4000,0,-0.9809,0.000,0.400
10.241,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
11.262,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
12.272,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
13.281,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
14.306,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
15.328,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
16.344,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
17.356,pose,1,2.995,-0.481,34.013,HCD: prevent entering A,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,0.000,0.200
18.307,end,,,,,all done,1,0.0500,0,-0.9809,1,0.2000,0,-0.9809,,
