t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,gate-plan aware: schedule-following + fence + STL,,,,,,,,,,
0.000,start,0,0.000,0.000,17.025,new goal window,1,0.0500,1,0.0000,1,0.4000,1,0.0000,0.000,0.400
1.034,pose,0,0.380,0.000,17.025,,1,0.0500,1,0.2998,1,0.0240,1,0.0240,0.376,0.400
2.060,pose,0,0.760,0.000,17.025,,1,0.0500,1,0.2998,1,0.0046,1,0.0046,0.363,0.400
3.080,pose,0,1.140,0.000,17.025,,1,0.0500,1,0.2998,1,0.0047,1,0.0047,0.375,0.400
4.122,pose,0,1.520,0.000,17.025,,1,0.0500,1,0.2998,1,0.0346,1,0.0346,0.364,0.400
5.040,finish,0,1.860,0.000,17.025,dur=5.04s,1,0.0500,1,0.2998,1,0.0114,1,0.0114,0.389,0.400
5.092,start,1,1.860,0.000,34.025,new goal window,1,0.0500,1,0.2998,1,0.0114,1,0.0114,0.000,0.400
5.147,pose,1,1.880,-0.001,34.025,,1,0.0500,0,-38.0284,1,0.0114,0,-38.0284,0.367,0.400
6.181,pose,1,2.243,-0.108,34.025,,1,0.0500,0,-38.0284,1,0.0010,0,-38.0284,0.363,0.400
7.209,pose,1,2.586,-0.271,34.025,,1,0.0500,0,-38.0284,1,0.0223,0,-38.0284,0.363,0.400
8.239,pose,1,2.924,-0.444,34.025,,1,0.0500,0,-38.0284,1,0.0091,0,-38.0284,0.363,0.400
9.256,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.4000,0,-38.0284,0.000,0.400
10.284,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
11.304,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
12.331,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
13.348,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
14.381,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
15.408,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
16.426,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
17.440,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
18.466,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
19.481,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.2000,0,-38.0284,0.000,0.200
20.498,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
21.526,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
22.558,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
23.593,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
24.627,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
25.655,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
26.693,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
27.725,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
28.766,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
29.797,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
30.814,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
31.843,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
32.879,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
33.911,pose,1,2.995,-0.481,34.025,HCD: prevent entering A,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
34.021,miss,1,2.995,-0.481,34.025,deadline,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
34.021,start,2,2.995,-0.481,54.025,new goal window,1,0.0500,0,-38.0284,1,0.3000,0,-38.0284,0.000,0.300
34.941,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
35.973,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
37.002,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
38.037,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
39.060,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
40.087,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
41.094,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
42.131,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
43.151,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
44.176,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
45.200,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
46.232,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
47.246,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
48.264,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
49.292,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
50.316,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
51.345,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
52.368,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
53.398,pose,2,2.995,-0.481,54.025,HCD: prevent entering A,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
54.043,miss,2,2.995,-0.481,54.025,deadline,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
54.043,idle,,2.995,-0.481,,,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,0.000,0.300
54.044,end,,,,,all done,1,0.0500,0,-17.6311,1,0.3000,0,-17.6311,,
