t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,,,Schedule-following execution with STL,,,,,,,,,,
0.000,task_start,A_leg0,0.000,0.000,0.013,0.000,0.013,Deviation: 0.013s,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.023,pose,A_leg0,0.380,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.4700,1,0.0135,0,-1.4700,0.363,0.400
2.043,pose,A_leg0,0.760,0.000,0.013,0.000,0.013,,1,0.0500,0,-1.0900,1,0.0130,0,-1.0900,0.382,0.400
3.059,pose,A_leg0,1.140,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.7100,1,0.0030,0,-0.7100,0.363,0.400
4.087,pose,A_leg0,1.520,0.000,0.013,0.000,0.013,,1,0.0500,0,-0.3300,1,0.0107,0,-0.3300,0.372,0.400
5.007,task_complete,A_leg0,1.860,0.000,0.013,0.000,0.013,Completed in 5.01s (scheduled: 13.36s),1,0.0500,1,0.0100,1,0.0115,1,0.0100,0.363,0.400
5.117,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 8.3s until scheduled start,1,0.0500,1,0.0100,1,0.0245,1,0.0100,0.000,0.400
6.143,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 7.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
7.160,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 6.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
8.187,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 5.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
9.201,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 4.2s until scheduled start,1,0.0500,1,0.0100,1,0.4000,1,0.0100,0.000,0.400
10.218,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 3.2s until scheduled start,1,0.0500,1,0.0100,1,0.2000,1,0.0100,0.000,0.200
11.244,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 2.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.268,waiting,A_leg1,1.860,0.000,13.369,,,Waiting 1.1s until scheduled start,1,0.0500,0,-1000000.0000,1,0.2000,0,-1000000.0000,0.000,0.200
12.917,task_start,A_leg1,1.860,0.000,13.369,12.917,0.452,Deviation: 0.452s,1,0.0500,0,-inf,1,0.2000,0,-inf,0.000,0.200
13.298,pose,A_leg1,1.929,-0.010,13.369,12.917,0.452,,1,0.0500,0,-2.1453,1,0.0183,0,-2.1453,0.182,0.200
14.315,pose,A_leg1,2.107,-0.077,13.369,12.917,0.452,,1,0.0500,0,-1.9563,1,0.0120,0,-1.9563,0.182,0.200
15.345,pose,A_leg1,2.279,-0.158,13.369,12.917,0.452,,1,0.0500,0,-1.7663,1,0.0120,0,-1.7663,0.182,0.200
16.367,pose,A_leg1,2.449,-0.241,13.369,12.917,0.452,,1,0.0500,0,-1.5763,1,0.0044,0,-1.5763,0.182,0.200
