t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,formal-gate passed; constrained+STL runtime,,,,,,,,,,
0.072,start,0,0.000,0.000,2425.234,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.015,pose,0,0.000,0.000,2425.234,,1,0.0500,0,-1.8500,1,0.4000,0,-1.8500,0.000,0.400
2.017,pose,0,0.110,0.000,2425.234,,1,0.0500,0,-1.7400,0,-0.6419,0,-1.7400,1.042,0.400
3.033,pose,0,0.429,0.001,2425.234,,1,0.0500,0,-1.4207,0,-1.0249,0,-1.4207,0.000,0.400
4.043,pose,0,0.755,0.001,2425.234,,1,0.0500,0,-1.0951,0,-1.0498,0,-1.0951,0.000,0.400
5.044,pose,0,1.110,0.001,2425.234,,1,0.0500,0,-0.7399,0,-2.4951,0,-2.4951,0.000,0.400
6.050,pose,0,1.496,0.001,2425.234,,1,0.0500,0,-0.3543,0,-0.8546,0,-0.8546,0.000,0.400
6.922,finish,0,1.853,0.001,2425.234,dur=6.85s,1,0.0500,1,0.0028,0,-1.1006,0,-1.1006,1.501,0.400
6.922,start,1,1.853,0.001,2442.234,new goal window,1,0.0500,0,-inf,0,-1.1006,0,-inf,0.000,0.400
7.050,pose,1,1.882,0.001,2442.234,,1,0.0500,0,-2.1923,0,-1.0519,0,-2.1923,0.000,0.400
8.063,pose,1,2.267,-0.004,2442.234,,1,0.0500,0,-1.8484,1,0.4000,0,-1.8484,0.000,0.400
9.064,pose,1,2.633,-0.227,2442.234,,1,0.0500,0,-1.4203,0,-1.0451,0,-1.4203,1.445,0.400
10.066,pose,1,2.845,-0.544,2442.234,,1,0.0500,0,-1.0913,0,-1.2213,0,-1.2213,1.421,0.200
11.085,pose,1,3.201,-0.653,2442.234,,1,0.0500,0,-0.7212,0,-1.8125,0,-1.8125,0.000,0.200
12.087,pose,1,3.454,-0.581,2442.234,,1,0.0500,0,-0.5381,0,-0.7082,0,-0.7082,0.000,0.200
13.090,pose,1,3.636,-0.637,2442.234,,1,0.0500,0,-0.3641,0,-0.4779,0,-0.4779,0.000,0.200
14.104,pose,1,3.723,-0.804,2442.234,,1,0.0500,0,-0.1895,1,0.2000,0,-0.1895,0.000,0.200
15.104,pose,1,3.830,-0.977,2442.234,,1,0.0500,0,-0.0217,1,0.2000,0,-0.0217,0.000,0.200
15.231,finish,1,3.856,-0.993,2442.234,dur=8.31s,1,0.0500,1,0.0056,0,-0.4957,0,-0.4957,0.696,0.200
15.232,start,2,3.856,-0.993,2462.234,new goal window,1,0.0500,0,-inf,0,-0.4957,0,-inf,0.000,0.200
16.123,pose,2,4.015,-1.007,2462.234,,1,0.0500,0,-2.3418,1,0.2000,0,-2.3418,0.000,0.200
17.142,pose,2,4.172,-0.857,2462.234,,1,0.0500,0,-2.1266,0,-0.5292,0,-2.1266,0.000,0.200
18.151,pose,2,4.260,-0.686,2462.234,,1,0.0500,0,-1.9555,0,-1.2117,0,-1.9555,0.000,0.200
19.155,pose,2,4.432,-0.617,2462.234,,1,0.0500,0,-1.7751,0,-0.5078,0,-1.7751,0.000,0.200
20.167,pose,2,4.630,-0.572,2462.234,,1,0.0500,0,-1.5895,0,-1.0459,0,-1.5895,0.000,0.300
21.168,pose,2,4.745,-0.395,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.3916,1,0.3000,0,-1.3916,0.000,0.300
22.176,pose,2,4.789,-0.278,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2890,1,0.3000,0,-1.2890,0.000,0.300
23.183,pose,2,4.791,-0.274,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2854,1,0.3000,0,-1.2854,0.000,0.300
24.201,pose,2,4.793,-0.270,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2814,1,0.2842,0,-1.2814,0.000,0.300
25.203,pose,2,4.795,-0.266,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2777,1,0.2846,0,-1.2777,0.000,0.300
26.221,pose,2,4.797,-0.262,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2741,1,0.3000,0,-1.2741,0.000,0.300
27.233,pose,2,4.799,-0.258,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2705,1,0.3000,0,-1.2705,0.000,0.300
28.241,pose,2,4.801,-0.254,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2665,1,0.2854,0,-1.2665,0.000,0.300
29.244,pose,2,4.803,-0.250,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2630,1,0.2771,0,-1.2630,0.000,0.300
30.266,pose,2,4.805,-0.247,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2595,1,0.2852,0,-1.2595,0.000,0.300
31.273,pose,2,4.806,-0.243,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2558,1,0.2705,0,-1.2558,0.000,0.300
32.283,pose,2,4.808,-0.240,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2526,1,0.3000,0,-1.2526,0.000,0.300
33.298,pose,2,4.810,-0.236,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2490,1,0.3000,0,-1.2490,0.000,0.300
34.304,pose,2,4.812,-0.232,2462.234,HCD: prevent entering A,0,-0.0500,0,-1.2452,1,0.2683,0,-1.2452,0.032,0.300
