t,event,task,x,y,deadline,note
0.000,start,0,,,23060.464,
1.010,pose,0,0.000,0.000,23060.464,
2.014,pose,0,0.000,0.000,23060.464,
3.025,pose,0,0.068,0.000,23060.464,
4.026,pose,0,0.427,0.001,23060.464,
5.032,pose,0,0.990,0.002,23060.464,
6.043,pose,0,1.560,0.001,23060.464,
6.534,finish,0,1.922,0.001,23060.464,dur=6.53s
6.534,start,1,,,23070.464,
7.055,pose,1,2.284,0.001,23070.464,
8.076,pose,1,2.922,-0.068,23070.464,
9.094,pose,1,3.317,-0.515,23070.464,
10.114,pose,1,3.548,-1.083,23070.464,
11.118,pose,1,3.969,-1.315,23070.464,
12.122,pose,1,4.312,-1.165,23070.464,
13.128,pose,1,4.398,-0.881,23070.464,
14.128,pose,1,4.215,-0.628,23070.464,
15.138,pose,1,3.892,-0.613,23070.464,
16.140,pose,1,3.646,-0.892,23070.464,
17.158,pose,1,3.703,-1.230,23070.464,
18.167,pose,1,4.005,-1.396,23070.464,
19.177,pose,1,4.296,-1.272,23070.464,
20.002,miss,1,,,23070.464,deadline
20.002,start,2,,,23080.464,
20.185,pose,2,4.393,-0.960,23080.464,
21.193,pose,2,4.197,-0.658,23080.464,
22.196,pose,2,3.954,-0.427,23080.464,
23.201,pose,2,3.958,-0.151,23080.464,
24.210,pose,2,4.289,0.123,23080.464,
25.221,pose,2,4.902,0.049,23080.464,
26.225,pose,2,5.469,-0.007,23080.464,
27.237,pose,2,5.860,0.346,23080.464,
27.258,finish,2,5.887,0.426,23080.464,dur=7.26s
27.259,idle,,,,,
27.259,end,,,,,all done
